name,price,fuel_type,year,kms,cv,location,url,brand,model,engine,version
BMW Z3 ROADSTER 2.0,11900.0,Gasolina,1999,234000,150,Valencia,https://www.coches.net/bmw-z3-roadster-20-2p-gasolina-1999-en-valencia-60819085-covo.aspx,BMW,Z3,2.0,2.0 ROADSTER
BMW Z3 ROADSTER 1.9I,11900.0,Gasolina,1999,152000,140,A Coruña,https://www.coches.net/bmw-z3-roadster-19i-2p-gasolina-1999-en-a-coruna-60661925-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3,11900.0,Gasolina,2001,80000,170,Sta. C. Tenerife,https://www.coches.net/bmw-z3-gasolina-2001-en-sta_c_tenerife-60495788-covo.aspx,BMW,Z3,2.2,2.2
BMW Z3 1.9I,11990.0,Gasolina,1997,91000,140,Sta. C. Tenerife,https://www.coches.net/bmw-z3-1.9i-2p-gasolina-1997-en-sta.-c.-tenerife-57449802-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9I,12000.0,Gasolina,1996,200000,140,Lleida,https://www.coches.net/bmw-z3-19i-2p-gasolina-1996-en-lleida-59090678-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 2.0 ROADSTER,12500.0,Gasolina,1999,230000,150,Valencia,https://www.coches.net/bmw-z3-20-roadster-2p-gasolina-1999-en-valencia-60819598-covo.aspx,BMW,Z3,2.0,2.0 ROADSTER
BMW Z3 1.9I,12500.0,Gasolina,1997,125000,140,Castellón,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-castellon-60154508-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9i Roadster,12950.0,Gasolina,2001,100000,118,Madrid,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2002-en-madrid-60791834-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 2.0 ROADSTER,12999.0,Gasolina,2000,84000,150,Alicante,https://www.coches.net/bmw-z3-2.0-roadster-2p-gasolina-2000-en-alicante-59690476-covo.aspx,BMW,Z3,2.0,2.0 ROADSTER
BMW Z3,13500.0,Gasolina,1998,125500,192,,https://www.coches.net/bmw-z3-gasolina-1998-en-barcelona-60805668-covo.aspx,BMW,Z3,2.8,2.8 COUPE
BMW Z3 1.9I,13900.0,Gasolina,1996,110000,140,Valencia,https://www.coches.net/bmw-z3-1.9i-2p-gasolina-1996-en-valencia-60539782-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9I,13900.0,Gasolina,1997,70000,140,Málaga,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-malaga-59335975-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 2.8 Roadster,13990.0,Gasolina,2000,171000,193,Madrid,https://www.coches.net/bmw-z3-28-roadster-2p-gasolina-2000-en-madrid-59953870-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 2.2i Roadster,14000.0,Gasolina,2001,129400,170,Valencia,https://www.coches.net/bmw-z3-22i-roadster-2p-gasolina-2001-en-valencia-60515001-covo.aspx,BMW,Z3,2.2,2.2 ROADSTER
BMW Z3,14000.0,Gasolina,1999,234000,150,Valencia,https://www.coches.net/bmw-z3-gasolina-1999-en-valencia-60212131-covo.aspx,BMW,Z3,2.0,2.0 ROADSTER
BMW Z3 ROADSTER 2.8,14300.0,Gasolina,1997,240000,192,Madrid,https://www.coches.net/bmw-z3-roadster-28-2p-gasolina-1997-en-madrid-60428005-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 1.9I,14990.0,Gasolina,1996,73500,140,Madrid,https://www.coches.net/bmw-z3-19i-2p-gasolina-1996-en-madrid-60541034-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9i Roadster,14990.0,Gasolina,2001,158000,118,Barcelona,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2001-en-barcelona-60245927-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 ROADSTER 1.9I,15000.0,Gasolina,1998,147000,140,Madrid,https://www.coches.net/bmw-z3-roadster-19i-2p-gasolina-1998-en-madrid-59338555-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 ROADSTER 2.8,15400.0,Gasolina,1998,148000,192,Girona,https://www.coches.net/bmw-z3-roadster-28-2p-gasolina-1998-en-girona-60473957-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 1.9i Roadster,15500.0,Gasolina,2002,75500,118,A Coruña,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2002-en-a_coruna-60261851-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 2.8 ROADSTER,15550.0,Gasolina,1998,190000,193,Cantabria,https://www.coches.net/bmw-z3-28-coupe-2p-gasolina-1998-en-cantabria-60642162-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 1.8i Roadster,15995.0,Gasolina,2000,63000,118,Madrid,https://www.coches.net/bmw-z3-1.8i-roadster-2p-gasolina-2000-en-madrid-60235940-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 2.2i Roadster,15999.0,Gasolina,2002,159211,170,Granada,https://www.coches.net/bmw-z3-2.2i-roadster-2p-gasolina-2002-en-granada-60348227-covo.aspx,BMW,Z3,2.2,2.2 ROADSTER
BMW Z3 2.8,16000.0,Gasolina,1997,136000,192,Las Palmas,https://www.coches.net/bmw-z3-28-2p-gasolina-1997-en-las_palmas-60784997-covo.aspx,BMW,Z3,2.8,2.8
BMW Z3 2.8,16500.0,Gasolina,1997,180000,192,Murcia,https://www.coches.net/bmw-z3-28-2p-gasolina-1997-en-murcia-60301636-covo.aspx,BMW,Z3,2.8,2.8
BMW Z3 2.2i Roadster,16980.0,Gasolina,2001,50000,170,Madrid,https://www.coches.net/bmw-z3-22i-roadster-2p-gasolina-2001-en-madrid-59359426-covo.aspx,BMW,Z3,2.2,2.2 ROADSTER
BMW Z3 ROADSTER 2.8,17000.0,Gasolina,1998,110000,192,Alicante,https://www.coches.net/bmw-z3-roadster-28-2p-gasolina-1998-en-castellon-59711431-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 2.8,17500.0,Gasolina,1997,94000,192,Pontevedra,https://www.coches.net/bmw-z3-28-2p-gasolina-1997-en-pontevedra-60792249-covo.aspx,BMW,Z3,2.8,2.8
BMW Z3 2.8 ROADSTER,17800.0,Gasolina,1998,126500,193,Barcelona,https://www.coches.net/bmw-z3-28-roadster-2p-gasolina-1998-en-barcelona-60047437-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 1.8I,17890.0,Gasolina,1997,150000,115,Málaga,https://www.coches.net/bmw-z3-1.8i-2p-gasolina-1997-en-malaga-59490264-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3 3.0i Roadster,17950.0,Gasolina,2000,366666,231,Badajoz,https://www.coches.net/bmw-z3-30i-roadster-2p-gasolina-2000-en-badajoz-60063850-covo.aspx,BMW,Z3,3.0,3.0 ROADSTER
BMW Z3 2.2i Roadster,18000.0,Gasolina,2002,92000,170,Córdoba,https://www.coches.net/bmw-z3-22i-roadster-2p-gasolina-2002-en-cordoba-60058552-covo.aspx,BMW,Z3,2.2,2.2 ROADSTER
BMW Z3 ROADSTER 2.8,18500.0,Gasolina,1999,124000,193,Barcelona,https://www.coches.net/bmw-z3-roadster-28-2p-gasolina-1999-en-barcelona-60373391-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 COUPE 2.8,21500.0,Gasolina,1999,165490,193,Cáceres,https://www.coches.net/bmw-z3-coupe-2.8-3p-gasolina-1999-en-caceres-60106556-covo.aspx,BMW,Z3,2.8,2.8 COUPE
BMW Z3 2.8 ROADSTER,21600.0,Gasolina,2000,83000,193,Huesca,https://www.coches.net/bmw-z3-28-roadster-2p-gasolina-2000-en-huesca-60345218-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 3.0i Coupe,24500.0,Gasolina,2000,123000,231,Baleares,https://www.coches.net/bmw-z3-30i-coupe-2p-gasolina-2000-en-baleares-59516935-covo.aspx,BMW,Z3,3.0,3.0 COUPE
BMW Z3,25000.0,Gasolina,2000,24000,193,Burgos,https://www.coches.net/bmw-z3-gasolina-2000-en-burgos-60343340-covo.aspx,BMW,Z3,2.8,2.8
