name,price,fuel_type,year,kms,cv,location,url,brand,model,engine,version
BMW Z4,11000.0,Gasolina,2003,206000,192,Las Palmas,https://www.coches.net/bmw-z4-gasolina-2003-en-las_palmas-60807481-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4,11000.0,Gasolina,2006,142000,,Las Palmas,https://www.coches.net/bmw-z4-gasolina-2006-en-las_palmas-60055691-covo.aspx,BMW,Z4,No data,No data
BMW Z4 2.2i,11199.0,Gasolina,2005,205000,170,Madrid,https://www.coches.net/bmw-z4-22i-2p-gasolina-2006-en-madrid-60402728-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.2i,11250.0,Gasolina,2005,199999,170,Alicante,https://www.coches.net/bmw-z4-22i-2p-gasolina-2006-en-alicante-60493033-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4,11500.0,Gasolina,2005,169000,,Granada,https://www.coches.net/bmw-z4-gasolina-2005-en-granada-60784290-covo.aspx,BMW,Z4,No data,No data
BMW Z4 2.2i,11500.0,Gasolina,2006,170000,170,Alicante,https://www.coches.net/bmw-z4-22i-2p-gasolina-2006-en-alicante-60255916-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.5i,11700.0,Gasolina,2003,161200,192,Madrid,https://www.coches.net/bmw-z4-25i-2p-gasolina-2003-en-madrid-60755162-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4 3.0i,11900.0,Gasolina,2004,237000,231,Madrid,https://www.coches.net/bmw-z4-30i-2p-gasolina-2004-en-madrid-60446768-covo.aspx,BMW,Z4,3.0,3.0
BMW Z4,11900.0,Gasolina,2004,237000,,Madrid,https://www.coches.net/bmw-z4-gasolina-2004-en-madrid-60447106-covo.aspx,BMW,Z4,No data,No data
BMW Z4 3.0i,11900.0,Gasolina,2004,237000,231,Toledo,https://www.coches.net/bmw-z4-30i-2p-gasolina-2004-en-toledo-60461835-covo.aspx,BMW,Z4,3.0,3.0
BMW Z4,11900.0,Gasolina,2004,237000,,Toledo,https://www.coches.net/bmw-z4-gasolina-2004-en-toledo-60461889-covo.aspx,BMW,Z4,No data,No data
BMW Z4 3.0i,11900.0,Gasolina,2004,237000,231,Cuenca,https://www.coches.net/bmw-z4-30i-2p-gasolina-2004-en-cuenca-60473983-covo.aspx,BMW,Z4,3.0,3.0
BMW Z4 3.0i,11900.0,Gasolina,2004,237000,231,Albacete,https://www.coches.net/bmw-z4-30i-2p-gasolina-2004-en-albacete-60469993-covo.aspx,BMW,Z4,3.0,3.0
BMW Z4 3.0i,11900.0,Gasolina,2004,237000,231,Ciudad Real,https://www.coches.net/bmw-z4-30i-2p-gasolina-2004-en-ciudad_real-60446961-covo.aspx,BMW,Z4,3.0,3.0
BMW Z4,11900.0,Gasolina,2004,237000,,Cuenca,https://www.coches.net/bmw-z4-gasolina-2004-en-cuenca-60474040-covo.aspx,BMW,Z4,No data,No data
BMW Z4,11900.0,Gasolina,2004,231000,,Albacete,https://www.coches.net/bmw-z4-gasolina-2004-en-albacete-60470075-covo.aspx,BMW,Z4,No data,No data
BMW Z4,11900.0,Gasolina,2004,237000,,Ciudad Real,https://www.coches.net/bmw-z4-gasolina-2004-en-ciudad_real-60447349-covo.aspx,BMW,Z4,No data,No data
BMW Z4 2.5i,11990.0,Gasolina,2004,220000,192,Castellón,https://www.coches.net/bmw-z4-25i-2p-gasolina-2004-en-castellon-60659686-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4 2.5i,11999.0,Gasolina,2003,179334,192,Valencia,https://www.coches.net/bmw-z4-2.5i-2p-gasolina-2003-en-valencia-60363795-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4 2.0i,11999.0,Gasolina,2007,125000,150,Madrid,https://www.coches.net/bmw-z4-2.0i-2p-gasolina-2007-en-madrid-58374993-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.5i,12000.0,Gasolina,2003,240000,192,Valencia,https://www.coches.net/bmw-z4-25i-2p-gasolina-2003-en-valencia-60702519-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4,12000.0,Gasolina,2009,135000,204,Barcelona,https://www.coches.net/bmw-z4-gasolina-2009-en-barcelona-59757801-covo.aspx,BMW,Z4,No data,No data
BMW Z4,12400.0,Gasolina,2008,91000,,Barcelona,https://www.coches.net/bmw-z4-gasolina-2008-en-barcelona-60854126-covo.aspx,BMW,Z4,No data,No data
BMW Z4 2.0i,12500.0,Gasolina,2006,128100,150,Huelva,https://www.coches.net/bmw-z4-20i-2p-gasolina-2006-en-huelva-60833100-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.2i,12500.0,Gasolina,2004,146650,170,Madrid,https://www.coches.net/bmw-z4-22i-2p-gasolina-2004-en-madrid-60791429-covo.aspx,BMW,Z4,2.2,2.2
